year,mnlegdist,legdist_n_kids_u5,legdist_n_fams_u5,state_n_kids_u5,state_n_fams_u5,hr_slots,share_hr,adj_supply_any,adj_supply_ccc,adj_supply_fcc,adj_supply_hr,adj_supply_public,totcost_any,totcost_ccc,totcost_hr,totcost_public,quality_premium,access_index,state_hr_slots,state_adj_supply_any,state_adj_supply_ccc,state_adj_supply_fcc,state_adj_supply_hr,state_adj_supply_public,state_totcost_any,state_totcost_ccc,state_totcost_hr,state_totcost_public,state_quality_premium,state_access_index,state_share_hr,msa_hr_slots,msa_adj_supply_any,msa_adj_supply_ccc,msa_adj_supply_fcc,msa_adj_supply_hr,msa_adj_supply_public,msa_totcost_any,msa_totcost_ccc,msa_totcost_hr,msa_totcost_public,msa_quality_premium,msa_access_index,msa_share_hr,rural_hr_slots,rural_adj_supply_any,rural_adj_supply_ccc,rural_adj_supply_fcc,rural_adj_supply_hr,rural_adj_supply_public,rural_totcost_any,rural_totcost_ccc,rural_totcost_hr,rural_totcost_public,rural_quality_premium,rural_access_index,rural_share_hr,st_med_hr_slots,st_med_adj_supply_any,st_med_adj_supply_ccc,st_med_adj_supply_fcc,st_med_adj_supply_hr,st_med_adj_supply_public,st_med_totcost_any,st_med_totcost_ccc,st_med_totcost_hr,st_med_totcost_public,st_med_quality_premium,st_med_access_index,st_med_share_hr,p25_hr_slots,p75_hr_slots,p50_hr_slots,p25_adj_supply_any,p75_adj_supply_any,p50_adj_supply_any,p25_adj_supply_ccc,p75_adj_supply_ccc,p50_adj_supply_ccc,p25_adj_supply_fcc,p75_adj_supply_fcc,p50_adj_supply_fcc,p25_adj_supply_hr,p75_adj_supply_hr,p50_adj_supply_hr,p25_adj_supply_public,p75_adj_supply_public,p50_adj_supply_public,p25_totcost_any,p75_totcost_any,p50_totcost_any,p25_totcost_ccc,p75_totcost_ccc,p50_totcost_ccc,p25_totcost_hr,p75_totcost_hr,p50_totcost_hr,p25_totcost_public,p75_totcost_public,p50_totcost_public,p25_quality_premium,p75_quality_premium,p50_quality_premium,p25_access_index,p75_access_index,p50_access_index,p25_share_hr,p75_share_hr,p50_share_hr,N_mnlegdist,rank_hr_slots,rank_adj_supply_any,rank_adj_supply_ccc,rank_adj_supply_fcc,rank_adj_supply_hr,rank_adj_supply_public,rank_share_hr,rank_access_index,rank_totcost_any,rank_totcost_ccc,rank_totcost_hr,rank_totcost_public,rank_quality_premium,s_adj_supply_fcc,s_adj_supply_ccc,s_adj_supply_public,s_st_adj_supply_fcc,s_st_adj_supply_ccc,s_st_adj_supply_public
2012,10A,2216.7825,1613.1555,349261,259503,.052589156,.067012027,.61510235,.16830508,.39420813,0,.052589156,121.90434,159.73743,,26.229572,,.52898872,.0386969,.5348947,.19158287,.30461493,0,.0386969,165.04706,245.78123,,35.264988,,-6.5270100e-10,.054010592,.016329851,.48531702,.25363493,.21535224,0,.016329851,202.43025,251.13664,,17.787479,,-.43156007,.03597733,.066008456,.59543216,.11581349,.41361022,0,.066008456,119.39986,239.24196,,56.606106,,.52696162,.076030329,.0016955917,.49562806,.16701594,.23368755,0,.0016955917,168.67125,242.06996,,12.500026,,-.17660937,.0041277604,5.2339683e-10,.11088791,.0068658879,.36115029,.83162796,.65901917,.010997784,.19355269,.11326832,.22217113,.57896858,.41142625,0,0,0,5.2339683e-10,.11088791,.0068658879,113.19131,129.12112,122.46571,144.11459,151.61018,145.85205,,,,5.6944556,19.694485,12.055579,,,,.15115887,.90462804,.62620711,1.3867869e-09,.13886568,.01572291,134,33,36,73,36,67.5,33,46,31,41,2,,83,,64,27,9,57,36,7
2013,10A,2216.7825,1613.1555,349261,259503,.050151743,.060332201,.68940461,.20232399,.43692884,5.0973288e-17,.050151743,125.14074,148.64813,174.41809,14.538061,1.3131815,.31861034,.11274216,.5584662,.2060665,.31070444,.071046881,.041695278,170.82504,220.14426,246.10498,16.989559,1.5036138,6.9546702e-10,.18093015,.12411853,.4986423,.27688378,.20767923,.11003927,.014079258,210.10277,255.72041,276.25183,13.898079,1.4023361,-.27833655,.24179278,.098850906,.63151497,.1195942,.4365046,.023434754,.075416148,122.86449,176.70358,209.29378,20.764448,1.6272802,.33986616,.10661311,.081345603,.5121603,.1799643,.23593025,.044105411,.0018471254,174.93257,238.03322,265.6413,12.412881,1.4365072,-.11446296,.16545573,1.6806764e-11,.10515232,.0032684105,.41062522,.96091169,.71009731,.039883684,.27306315,.13148624,.27669767,.61403173,.45642483,0,0,0,1.6806764e-11,.10515232,.0032684105,117.49583,132.06123,125.99762,145.64824,149.66959,147.7612,163.86118,185.55566,167.94452,5.8333449,20.361153,13.000027,1.2306755,1.3629067,1.2692193,.072422363,.57282925,.37829533,4.8483613e-11,.12263525,.0054461691,134,104,27,65,30,123,34,111,31,39,9,24,61,42,63,29,7,56,37,7
2014,10A,2216.7825,1613.1555,349261,259503,.10495461,.13674049,.72900438,.24529821,.39173403,.012982476,.091972128,119.67027,155.84698,147.97736,10.041348,1.0990044,.35128903,.14917329,.58581603,.23326772,.29651099,.093135968,.056037318,169.09805,223.2364,237.77991,10.806197,1.4223517,1.3224108e-10,.23537487,.1548647,.53177434,.30802298,.19823626,.1293496,.025515107,209.7149,258.0687,273.70966,9.0229177,1.3640947,-.27881455,.28396159,.14222372,.65180427,.14198691,.41651052,.048916884,.093306825,119.50237,180.70401,193.90744,12.983691,1.4934872,.34044987,.17604747,.11941184,.54117668,.20257875,.22597989,.065413721,.021956054,173.32027,240.6362,254.02663,8.0444069,1.3888881,-.1487809,.22529462,.010157079,.18623433,.11378839,.40786448,.98175937,.74277687,.04487535,.32087398,.16326423,.24927753,.54374886,.40816337,0,.021661296,.0077148816,.0069523957,.17422178,.086929165,110.93219,126.65127,116.27094,148.69449,158.08784,152.70041,132.09633,155.23274,140.97771,5.1388988,12.194473,7.5634694,.97450912,1.1404961,1.047787,-.012394239,.6691739,.43040535,.025688708,.19750322,.14264013,134,100,25,60,33,112,22,99,30,37,14,10,71,8,54,34,13,51,40,10
2015,10A,2216.7825,1613.1555,349261,259503,.14549671,.19062942,.69150496,.24063787,.35643363,.05106324,.094433464,122.65627,160.3399,146.19963,10.021194,1.0587175,.38377237,.1571209,.5579595,.22679776,.27366361,.099622801,.05749809,172.20628,229.06659,234.30888,10.534803,1.3604409,4.6666238e-10,.26617271,.16920049,.51001132,.30203423,.17795667,.13918005,.030020433,214.48586,265.24478,278.92871,8.7821188,1.353738,-.2660127,.3238478,.14237095,.61650711,.13492937,.39052776,.051320944,.091050014,120.5803,184.89079,179.8253,12.67494,1.3686256,.32481799,.19574787,.13152398,.51399022,.20070736,.20140466,.07495261,.026161147,178.49532,248.6633,253.5575,7.9022145,1.3498224,-.15025853,.26232243,.018297352,.24810556,.15477213,.41903341,.93316764,.68302763,.045345575,.33248129,.17101021,.21731649,.48657143,.36086491,.000024162429,.099846564,.025172791,.0069523957,.17991827,.086929165,113.48183,128.61378,119.73218,154.39619,160.41898,156.30598,135.63892,154.92418,149.82022,4.9717298,12.194473,7.5000157,.98207295,1.1227612,1.0793681,-.11390069,.80788022,.49551907,.05044983,.31653535,.21148928,134,75,25,56,35,88,23,95,28,38,17,17,76,9,52,35,14,49,41,10
2016,10A,2216.7825,1613.1555,349261,259503,.062264565,.17020793,.32928839,.17508784,.11745343,.025517441,.036747124,107.74642,147.37837,144.70473,62.106724,1.3822315,.23804806,.10475305,.30868447,.16964787,.11242023,.07813669,.026616363,168.51242,242.1907,246.28207,38.804512,1.6600305,7.6565043e-10,.2843667,.13995342,.37132013,.24233294,.10267338,.1136396,.026313821,221.29439,274.26117,281.49667,12.025635,1.3112875,-.145895,.35410124,.061771214,.23220243,.080894902,.12432174,.034785431,.026985783,104.06235,203.03069,187.33775,71.503181,2.2442749,.17814684,.19921653,.067397177,.26988581,.12638226,.08399827,.039365496,.0077712298,179.23958,254.69212,267.13513,10.302787,1.3251808,-.076522715,.25419465,5.5901824e-16,.10174564,.017576506,.14992571,.43513682,.29762429,.0312985,.19764298,.11556213,.054162048,.15319493,.11320088,0,1.2441863e-30,0,0,.083290964,.00065325043,86.079651,134.29179,97.8843,138.78082,157.72269,150.62816,136.91672,145.75006,142.05562,6.4126043,132.65392,14.800818,.95404243,1.4350533,1.1603191,.022306234,.43572003,.29039678,4.1914898e-13,.26936203,.063033022,134,91,52,56,58,97,36,98,27,40,9,20,100,62,36,53,11,36,55,9
2017,10A,2216.7825,1613.1555,349261,259503,.17545816,.2842353,.54021168,.22802122,.22704895,.090316646,.085141517,124.33975,164.01505,164.92317,14.039731,1.1639562,.37175345,.16696499,.44115615,.21265782,.17964444,.11711731,.049847685,183.03572,275.08139,247.28606,25.716303,1.3437595,.00013756404,.34881932,.18493438,.43973619,.2857779,.1252379,.15530461,.029629765,227.56776,279.61356,284.02005,12.382446,1.3146435,-.19302246,.40445119,.14502324,.44288999,.12337369,.24607818,.070488229,.07453502,128.62953,269.54431,195.3779,42.006691,1.3853948,.2361272,.2808893,.14204176,.41139814,.1803634,.13195089,.09526775,.021559807,187.25017,269.0394,264.0014,8.5519934,1.2634766,-.11787421,.3744601,.024252882,.28384003,.17591521,.26866972,.74790382,.52391022,.044430643,.32258096,.16251777,.12078702,.3119753,.22828105,2.5812645e-07,.17281482,.048027448,.0069522918,.15624677,.080033295,112.65915,133.38416,122.02591,154.86337,162.28278,157.97224,149.35144,158.53033,152.51181,4.9717298,12.194473,7.4906373,1.0267681,1.1580001,1.0705333,-.0079228682,.69578332,.42975044,.1159358,.45470893,.32410294,134,57,26,56,40,80,19,91,14,32,1,17,76,24,42,42,16,41,48,11
2018,10A,2216.7825,1613.1555,349261,259503,.23172668,.3218472,.62027705,.25651899,.26032338,.12829201,.10343466,127.90571,172.01437,158.33742,9.9647484,1.0787916,.48834825,.1833386,.52262598,.2458825,.21444264,.12103772,.062300872,197.41147,266.34604,262.4071,10.180117,1.2756855,-1.2414926e-09,.33501783,.20287231,.50874692,.3343398,.1365796,.16504481,.037827495,249.97003,309.05048,318.38602,8.2889967,1.3295362,-.21803889,.39469829,.15948673,.53957325,.13787062,.30951822,.067302339,.09218438,133.23422,214.20126,181.24086,12.489292,1.1973439,.26623899,.26214433,.15950859,.48326793,.21080883,.15286888,.10507996,.03095335,204.42227,284.43594,291.12512,7.6084881,1.2703981,-.14475809,.3529003,.029023491,.40053511,.21217074,.3069123,.86423916,.62520701,.039799251,.41274017,.18483861,.14691839,.34246457,.24804531,3.4842649e-06,.23967606,.0614985,.011241485,.17731015,.11938301,118.17002,135.71935,125.55025,162.41634,174.71144,166.52592,155.67838,160.28073,157.05482,4.9617624,12.097638,7.6377268,1.0206255,1.1439335,1.0488434,-.099296831,1.0354018,.54248136,.13050331,.52075088,.345768,134,32,36,54,43,61,24,74,15,35,6,26,85,21,42,41,17,41,47,12
2019,10A,2216.7825,1613.1555,349261,259503,.31654754,.42002493,.66907144,.31672204,.23863062,.20282879,.11371876,124.97927,165.31381,156.30983,9.2333469,1.0845364,.53794646,.21685407,.56920344,.27474514,.21301781,.13541356,.081440508,188.82721,254.64575,250.36604,39.83754,1.2466825,-3.9950529e-10,.36112294,.23721111,.56380707,.37398562,.13397329,.18136291,.055848189,236.04593,290.60721,299.03973,48.742886,1.2906914,-.20131844,.4183369,.19199687,.57579273,.15356633,.30953607,.07930655,.11269032,131.17021,200.58304,176.8013,28.325695,1.1799331,.2458223,.29126114,.19229907,.5299468,.23519602,.14615482,.11689028,.046364371,193.21698,273.84366,276.4006,18.412409,1.2438682,-.11975329,.37556082,.039010674,.54251856,.27432686,.3266772,.91192979,.63664854,.054024719,.4773007,.22347742,.12634507,.31082374,.22992782,.013998589,.36128843,.13927358,.011218611,.18291755,.13617109,115.01353,133.00406,122.79232,157.62207,165.86542,159.8929,153.1667,159.25006,154.2075,5.1606474,11.305149,7.4073248,1.0290344,1.1563145,1.0612133,-.069794483,1.076786,.50385201,.23873082,.62695861,.47571355,134,19,34,45,49,28,30,48,10,33,14,30,9,31,36,47,17,37,48,14
2020,10A,2216.7825,1613.1555,349261,259503,.34432206,.48516157,.64731145,.30432364,.21796224,.21929649,.12502559,131.90013,165.59106,155.47769,60.513897,1.0789738,.51604921,.2391668,.58344477,.2826727,.20582268,.14421742,.094949387,195.66025,256.33185,252.38196,112.12788,1.2529514,-5.7189925e-10,.38828039,.25778362,.57914805,.38157508,.12706237,.187273,.070510618,243.56932,292.39255,301.20221,141.01784,1.2822433,-.2076588,.44085431,.21643451,.58869129,.16190679,.30199388,.09164387,.12479064,137.16031,203.26027,181.2607,74.763512,1.2100846,.25356427,.3240844,.212387,.54498643,.2433251,.14078793,.11976141,.065544695,202.12589,275.61298,278.21957,107.53541,1.2393914,-.12787411,.40247095,.08397802,.58520031,.30766329,.31725755,.94444633,.62399268,.057657864,.4753218,.24369682,.10697722,.29683736,.19956347,.030267416,.38175625,.16622584,.014999973,.1956002,.1453612,122.62759,141.53419,131.04019,157.86308,166.30579,160.4003,153.0988,158.89751,154.47652,20.514246,86.385666,44.657127,1.0266951,1.125991,1.0691164,-.11193877,1.1582603,.47373328,.24932222,.73181587,.56948251,134,18,42,52,53,28,34,38,13,37,12,24,37,21,34,47,19,35,48,16
2021,10A,2216.7825,1613.1555,349261,259503,.35318446,.47960836,.66116935,.31727874,.21289836,.22219221,.13099223,134.01338,189.2778,179.0088,10.137593,1.1635439,.48798969,.25498864,.58233821,.30032423,.19155487,.16452955,.090459101,200.82707,275.34302,272.51553,8.8873844,1.261619,9.2420166e-10,.4128885,.27336735,.57948226,.39852765,.11708596,.20949866,.063868679,251.81323,316.85901,323.74631,7.80584,1.2729286,-.20208576,.46881911,.23254494,.5858258,.18040022,.28249481,.10961416,.12293078,138.5638,213.12578,198.2066,10.293574,1.2451237,.24678306,.34458718,.2208669,.53308749,.25042906,.12387804,.13743189,.057669424,204.30151,297.31744,303.00916,7.2924871,1.2356136,-.12613159,.42891139,.027448529,.60022897,.31271726,.29815403,.96069038,.59985781,.0096159177,.48932767,.19394746,.091568731,.29676512,.17113896,.0063728322,.37904301,.14729556,.0011637449,.21726319,.11861078,127.15096,148.69998,136.5163,180.23262,191.00587,184.43039,174.66624,182.87276,177.69498,6.1021342,12.96853,8.1310291,1.1181647,1.1798869,1.1511621,-.2152703,1.0800035,.46393016,.15203285,.71743971,.60502982,134,23,41,50,51,30,27,45,10,35,23,30,95,44,32,48,20,33,52,16
2022,10A,2216.7825,1613.1555,349261,259503,.38647795,.47783196,.7081514,.404019,.19102155,.27336708,.11311086,143.79359,187.64026,179.93091,9.325922,1.132652,.54928714,.26744977,.59806472,.34602442,.18187934,.19728884,.070160918,206.02438,267.03397,268.21628,8.9497108,1.2590977,1.1749185e-09,.42291179,.28764853,.59792238,.42707723,.1100736,.22687696,.060771573,253.76491,311.44153,320.31583,7.7107048,1.2617077,-.20119825,.47959268,.24278243,.59823847,.24704041,.26957062,.16115496,.081627466,147.72226,205.79477,197.83298,10.619012,1.2555509,.24570918,.35369146,.23990816,.56106758,.30584425,.12088981,.16885473,.050118964,211.27977,288.37915,295.1109,7.2191019,1.2429373,-.13536032,.44643068,.081629418,.65491188,.36997446,.32526526,1.0518876,.68536514,.048898127,.66846466,.33349743,.09367732,.26225746,.17671837,.032981522,.48131827,.23895785,.012840801,.16747181,.11754424,133.18494,153.16423,145.04378,179.64575,188.48997,182.05632,175.80174,185.11148,177.39139,5.7375054,11.4619,7.8367147,1.061745,1.1941893,1.0986516,-.11916506,1.1974921,.55389023,.2845681,.64557242,.58056831,134,16,31,42,56,27,23,48,5,36,25,28,85,27,27,57,16,30,58,12
2012,10B,2159.418,1649.4128,349261,259503,.042394925,.07934875,.41387895,.069168702,.30231532,0,.042394925,118.06277,287.18381,,103.7262,,.29569882,.0386969,.5348947,.19158287,.30461493,0,.0386969,165.04706,245.78123,,35.264988,,-6.5270100e-10,.054010592,.016329851,.48531702,.25363493,.21535224,0,.016329851,202.43025,251.13664,,17.787479,,-.43156007,.03597733,.066008456,.59543216,.11581349,.41361022,0,.066008456,119.39986,239.24196,,56.606106,,.52696162,.076030329,.0016955917,.49562806,.16701594,.23368755,0,.0016955917,168.67125,242.06996,,12.500026,,-.17660937,.0041277604,0,1.0174005e-06,0,.000018079387,.69847339,.25802967,0,.026475796,0,7.4172033e-07,.53523815,.12717141,0,0,0,0,1.0174005e-06,0,107.12222,135.12334,124.80094,150.52316,389.36157,246.48631,,,,17.4167,200.5004,77.152931,,,,-.33280712,.78003848,.10699248,0,.00059074978,0,134,46,111,120,62,67.5,46,37,51,36,121,,124,,73,17,10,57,36,7
2013,10B,2159.418,1649.4128,349261,259503,.051604986,.060160894,.48652524,.075240068,.36734262,.0076624295,.043942556,123.62846,158.68204,182.89201,30.967859,1.4109625,.19223022,.11274216,.5584662,.2060665,.31070444,.071046881,.041695278,170.82504,220.14426,246.10498,16.989559,1.5036138,6.9546702e-10,.18093015,.12411853,.4986423,.27688378,.20767923,.11003927,.014079258,210.10277,255.72041,276.25183,13.898079,1.4023361,-.27833655,.24179278,.098850906,.63151497,.1195942,.4365046,.023434754,.075416148,122.86449,176.70358,209.29378,20.764448,1.6272802,.33986616,.10661311,.081345603,.5121603,.1799643,.23593025,.044105411,.0018471254,174.93257,238.03322,265.6413,12.412881,1.4365072,-.11446296,.16545573,0,9.6477629e-07,0,.00049872301,.8315931,.3285144,0,.034389317,5.2653703e-34,.000021092974,.67081517,.18409579,0,0,0,0,3.5187114e-07,0,112.25695,138.59505,125.69634,149.16656,170.16301,157.83336,167.02785,199.02792,181.86122,17.888924,41.722305,31.000059,1.2719618,1.5421737,1.3845451,-.21314104,.48026472,.028063694,0,4.4854992e-06,0,134,101,87,117,45,101,41,112,46,37,20,26,123,65,76,15,9,56,37,7
2014,10B,2159.418,1649.4128,349261,259503,.13642506,.09628737,.57459164,.14236723,.36332405,.067524701,.068900369,125.42558,168.57861,173.79057,23.686172,1.3218403,.23864384,.14917329,.58581603,.23326772,.29651099,.093135968,.056037318,169.09805,223.2364,237.77991,10.806197,1.4223517,1.3224108e-10,.23537487,.1548647,.53177434,.30802298,.19823626,.1293496,.025515107,209.7149,258.0687,273.70966,9.0229177,1.3640947,-.27881455,.28396159,.14222372,.65180427,.14198691,.41651052,.048916884,.093306825,119.50237,180.70401,193.90744,12.983691,1.4934872,.34044987,.17604747,.11941184,.54117668,.20257875,.22597989,.065413721,.021956054,173.32027,240.6362,254.02663,8.0444069,1.3888881,-.1487809,.22529462,0,.074182205,2.3134731e-07,.00025309745,.95424259,.34298301,0,.072181642,1.5828161e-14,.000033130407,.57507765,.1835406,0,2.5041916e-25,0,0,.054352082,1.9560169e-09,112.80058,140.92294,126.03204,151.31703,186.16676,165.61867,159.0556,186.75011,174.03926,9.9722424,34.833401,19.055597,1.166826,1.4671701,1.3430518,-.39504525,.59799194,-.089303918,0,.095263444,1.4605315e-06,134,72,69,92,41,79,39,122,42,42,24,27,132,49,63,25,12,51,40,10
2015,10B,2159.418,1649.4128,349261,259503,.10486125,.14402175,.45715588,.046917886,.33368772,.028310977,.076550275,121.51057,183.85556,167.57172,22.953081,1.2904475,.11310989,.1571209,.5579595,.22679776,.27366361,.099622801,.05749809,172.20628,229.06659,234.30888,10.534803,1.3604409,4.6666238e-10,.26617271,.16920049,.51001132,.30203423,.17795667,.13918005,.030020433,214.48586,265.24478,278.92871,8.7821188,1.353738,-.2660127,.3238478,.14237095,.61650711,.13492937,.39052776,.051320944,.091050014,120.5803,184.89079,179.8253,12.67494,1.3686256,.32481799,.19574787,.13152398,.51399022,.20070736,.20140466,.07495261,.026161147,178.49532,248.6633,253.5575,7.9022145,1.3498224,-.15025853,.26232243,0,.15542275,1.9182505e-06,.000046388635,.88573384,.24385947,0,3.7261034e-13,0,.00001618066,.50182891,.13258779,0,3.2270890e-17,0,0,.074182205,1.9560169e-09,107.35244,138.98674,123.75245,167.52782,202.72229,183.25009,152.27786,184.86119,166.02789,9.1555967,33.861179,19.055597,1.141737,1.4597565,1.2547375,-.51024383,.59780198,-.18506527,0,.19238308,.00004270003,134,103,103,128,45,108,32,110,48,37,37,30,134,53,73,10,17,49,41,10
2016,10B,2159.418,1649.4128,349261,259503,.02332616,.14131244,.11884309,.031471245,.086182117,.022136431,.0011897283,104.17107,167.62553,182.93301,156.51152,1.9146063,.048607223,.10475305,.30868447,.16964787,.11242023,.07813669,.026616363,168.51242,242.1907,246.28207,38.804512,1.6600305,7.6565043e-10,.2843667,.13995342,.37132013,.24233294,.10267338,.1136396,.026313821,221.29439,274.26117,281.49667,12.025635,1.3112875,-.145895,.35410124,.061771214,.23220243,.080894902,.12432174,.034785431,.026985783,104.06235,203.03069,187.33775,71.503181,2.2442749,.17814684,.19921653,.067397177,.26988581,.12638226,.08399827,.039365496,.0077712298,179.23958,254.69212,267.13513,10.302787,1.3251808,-.076522715,.25419465,0,7.8565755e-36,0,0,.18009755,.0011483023,0,2.2230892e-34,0,0,.095243566,.000051315845,0,0,0,0,0,0,65.219299,141.26215,104.87542,137.89157,188.36121,172.98616,153.63892,194.27788,165.77917,132.77803,203.97263,176.44479,1.0870326,2.5030308,2.0188663,-.15204065,.21643893,.03137802,0,4.8394345e-34,0,134,117,133,119,95,104,126,107,54,38,16,41,132,103,73,26,1,36,55,9
2017,10B,2159.418,1649.4128,349261,259503,.13157056,.32110113,.3113848,.046886712,.18829082,.055363286,.076207273,121.34553,367.51538,257.55716,79.411148,1.8661319,.14795013,.16696499,.44115615,.21265782,.17964444,.11711731,.049847685,183.03572,275.08139,247.28606,25.716303,1.3437595,.00013756404,.34881932,.18493438,.43973619,.2857779,.1252379,.15530461,.029629765,227.56776,279.61356,284.02005,12.382446,1.3146435,-.19302246,.40445119,.14502324,.44288999,.12337369,.24607818,.070488229,.07453502,128.62953,269.54431,195.3779,42.006691,1.3853948,.2361272,.2808893,.14204176,.41139814,.1803634,.13195089,.09526775,.021559807,187.25017,269.0394,264.0014,8.5519934,1.2634766,-.11787421,.3744601,3.8396956e-32,.23160876,.00094535819,6.6020743e-07,.54179031,.12761144,0,3.6754931e-13,0,2.0707418e-10,.3007594,.048505697,0,.020113884,5.9908697e-21,0,.074182205,1.9560169e-09,101.43845,141.29704,124.91691,167.50005,545.57538,363.13925,140.80602,373.65167,154.34726,9.1184998,146.19473,20.530533,1.0498639,2.0801377,1.1875442,-.3209962,.52504724,-.064512163,3.9503054e-26,.58407724,.19843996,134,92,124,125,56,100,26,82,43,27,129,75,128,129,60,15,24,41,48,11
2018,10B,2159.418,1649.4128,349261,259503,.12634036,.24744026,.37533218,.050955068,.25598744,.057950687,.068389684,126.65767,200.14209,159.27458,22.969742,1.1425174,.086766243,.1833386,.52262598,.2458825,.21444264,.12103772,.062300872,197.41147,266.34604,262.4071,10.180117,1.2756855,-1.2414926e-09,.33501783,.20287231,.50874692,.3343398,.1365796,.16504481,.037827495,249.97003,309.05048,318.38602,8.2889967,1.3295362,-.21803889,.39469829,.15948673,.53957325,.13787062,.30951822,.067302339,.09218438,133.23422,214.20126,181.24086,12.489292,1.1973439,.26623899,.26214433,.15950859,.48326793,.21080883,.15286888,.10507996,.03095335,204.42227,284.43594,291.12512,7.6084881,1.2703981,-.14475809,.3529003,3.4213862e-32,.18091969,.00094536244,.000018935596,.59741908,.1708087,0,5.3907231e-13,0,1.3114922e-06,.40551031,.063460737,0,.02210761,6.3028339e-20,0,.065050915,1.9560169e-09,112.06728,145.9593,132.01375,178.8334,225.44461,199.01648,146.30042,163.80562,156.08336,9.1944628,33.861179,19.062513,.97276098,1.2437232,1.1308391,-.51708001,.53825593,-.29636481,2.8511176e-27,.44121146,.098958433,134,106,118,127,44,103,46,96,55,34,28,28,132,33,68,14,18,41,47,12
2019,10B,2159.418,1649.4128,349261,259503,.12366883,.27914333,.35967186,.058523893,.23893687,.061457753,.062211085,128.78873,171.22696,152.87035,54.598007,1.1208158,-.027719812,.21685407,.56920344,.27474514,.21301781,.13541356,.081440508,188.82721,254.64575,250.36604,39.83754,1.2466825,-3.9950529e-10,.36112294,.23721111,.56380707,.37398562,.13397329,.18136291,.055848189,236.04593,290.60721,299.03973,48.742886,1.2906914,-.20131844,.4183369,.19199687,.57579273,.15356633,.30953607,.07930655,.11269032,131.17021,200.58304,176.8013,28.325695,1.1799331,.2458223,.29126114,.19229907,.5299468,.23519602,.14615482,.11689028,.046364371,193.21698,273.84366,276.4006,18.412409,1.2438682,-.11975329,.37556082,3.1977314e-33,.17893656,.00093757414,.000014396965,.57494283,.17034036,0,4.9910038e-13,0,9.2820045e-07,.34334949,.097898401,0,.022161502,1.2078442e-21,0,.055855818,1.9364271e-07,121.17592,148.73552,138.0988,156.3334,183.49335,164.65408,143.19772,162.0556,153.13968,9.6161804,32.000065,18.250036,.98612404,1.2204989,1.138936,-.55878145,.35797739,-.34622362,1.4743296e-28,.52009493,.11334606,134,118,131,126,48,103,74,98,67,38,18,26,100,39,66,16,17,37,48,14
2020,10B,2159.418,1649.4128,349261,259503,.13084525,.22237997,.42739496,.063498802,.27965936,.046608463,.084236786,130.18816,164.85144,158.31895,24.901613,1.1387435,.023697777,.2391668,.58344477,.2826727,.20582268,.14421742,.094949387,195.66025,256.33185,252.38196,112.12788,1.2529514,-5.7189925e-10,.38828039,.25778362,.57914805,.38157508,.12706237,.187273,.070510618,243.56932,292.39255,301.20221,141.01784,1.2822433,-.2076588,.44085431,.21643451,.58869129,.16190679,.30199388,.09164387,.12479064,137.16031,203.26027,181.2607,74.763512,1.2100846,.25356427,.3240844,.212387,.54498643,.2433251,.14078793,.11976141,.065544695,202.12589,275.61298,278.21957,107.53541,1.2393914,-.12787411,.40247095,0,.16530073,.00015214428,5.9648246e-06,.64412367,.17825034,0,.013932927,1.9352979e-37,3.3111743e-07,.36702994,.081789054,0,.0080140484,0,0,.064258039,2.0696673e-07,119.23252,148.74057,134.30557,151.92722,171.33696,161.13753,150.10724,167.9306,157.41327,7.7500148,25.250128,15.174474,1.0086529,1.259096,1.1463424,-.57190579,.41340125,-.34150937,0,.31743047,.057910126,134,123,116,127,36,114,61,122,60,32,11,29,13,39,65,15,20,35,48,16
2021,10B,2159.418,1649.4128,349261,259503,.15399131,.28404239,.39989305,.082958154,.24858423,.085640661,.068350658,144.90889,174.13994,166.4287,15.043001,1.1834674,-.034955591,.25498864,.58233821,.30032423,.19155487,.16452955,.090459101,200.82707,275.34302,272.51553,8.8873844,1.261619,9.2420166e-10,.4128885,.27336735,.57948226,.39852765,.11708596,.20949866,.063868679,251.81323,316.85901,323.74631,7.80584,1.2729286,-.20208576,.46881911,.23254494,.5858258,.18040022,.28249481,.10961416,.12293078,138.5638,213.12578,198.2066,10.293574,1.2451237,.24678306,.34458718,.2208669,.53308749,.25042906,.12387804,.13743189,.057669424,204.30151,297.31744,303.00916,7.2924871,1.2356136,-.12613159,.42891139,0,.15740898,.00063177553,4.3179733e-07,.687213,.12736186,0,.0070540807,9.7485756e-37,8.0046805e-09,.33338252,.060334943,0,.010708468,4.1487724e-31,0,.04765873,1.6457322e-11,125.32693,156.68593,143.68715,158.66992,191.20209,167.54031,155.10553,179.62527,164.91522,8.0555716,21.205601,14.130673,1.0077522,1.3041549,1.1409197,-.5710004,.44294575,-.37871763,0,.55292654,.13092391,134,121,123,123,36,98,81,108,72,39,10,20,132,50,62,21,17,33,52,16
