year,county_n_kids_u5,county_n_fams_u5,state_n_kids_u5,state_n_fams_u5,county,hr_slots,share_hr,adj_supply_any,adj_supply_ccc,adj_supply_fcc,adj_supply_hr,adj_supply_public,totcost_any,totcost_ccc,totcost_hr,totcost_public,quality_premium,access_index,state_hr_slots,state_adj_supply_any,state_adj_supply_ccc,state_adj_supply_fcc,state_adj_supply_hr,state_adj_supply_public,state_totcost_any,state_totcost_ccc,state_totcost_hr,state_totcost_public,state_quality_premium,state_access_index,state_share_hr,msa_hr_slots,msa_adj_supply_any,msa_adj_supply_ccc,msa_adj_supply_fcc,msa_adj_supply_hr,msa_adj_supply_public,msa_totcost_any,msa_totcost_ccc,msa_totcost_hr,msa_totcost_public,msa_quality_premium,msa_access_index,msa_share_hr,rural_hr_slots,rural_adj_supply_any,rural_adj_supply_ccc,rural_adj_supply_fcc,rural_adj_supply_hr,rural_adj_supply_public,rural_totcost_any,rural_totcost_ccc,rural_totcost_hr,rural_totcost_public,rural_quality_premium,rural_access_index,rural_share_hr,st_med_hr_slots,st_med_adj_supply_any,st_med_adj_supply_ccc,st_med_adj_supply_fcc,st_med_adj_supply_hr,st_med_adj_supply_public,st_med_totcost_any,st_med_totcost_ccc,st_med_totcost_hr,st_med_totcost_public,st_med_quality_premium,st_med_access_index,st_med_share_hr,p25_hr_slots,p75_hr_slots,p50_hr_slots,p25_adj_supply_any,p75_adj_supply_any,p50_adj_supply_any,p25_adj_supply_ccc,p75_adj_supply_ccc,p50_adj_supply_ccc,p25_adj_supply_fcc,p75_adj_supply_fcc,p50_adj_supply_fcc,p25_adj_supply_hr,p75_adj_supply_hr,p50_adj_supply_hr,p25_adj_supply_public,p75_adj_supply_public,p50_adj_supply_public,p25_totcost_any,p75_totcost_any,p50_totcost_any,p25_totcost_ccc,p75_totcost_ccc,p50_totcost_ccc,p25_totcost_hr,p75_totcost_hr,p50_totcost_hr,p25_totcost_public,p75_totcost_public,p50_totcost_public,p25_quality_premium,p75_quality_premium,p50_quality_premium,p25_access_index,p75_access_index,p50_access_index,p25_share_hr,p75_share_hr,p50_share_hr,N_county,rank_hr_slots,rank_adj_supply_any,rank_adj_supply_ccc,rank_adj_supply_fcc,rank_adj_supply_hr,rank_adj_supply_public,rank_share_hr,rank_access_index,rank_totcost_any,rank_totcost_ccc,rank_totcost_hr,rank_totcost_public,rank_quality_premium,s_adj_supply_fcc,s_adj_supply_ccc,s_adj_supply_public,s_st_adj_supply_fcc,s_st_adj_supply_ccc,s_st_adj_supply_public
2012,647,581,349261,259503,Aitkin,.050999977,.10188469,.56205237,.11210514,.39894724,0,.050999977,116.05154,302.28513,,137.25526,,.51472139,.0386969,.5348947,.19158287,.30461493,0,.0386969,165.04706,245.78123,,35.264988,,-6.5270100e-10,.054010592,.016329851,.48531702,.25363493,.21535224,0,.016329851,202.43025,251.13664,,17.787479,,-.43156007,.03597733,.066008456,.59543216,.11581349,.41361022,0,.066008456,119.39986,239.24196,,56.606106,,.52696162,.076030329,.0016955917,.49562806,.16701594,.23368755,0,.0016955917,168.67125,242.06996,,12.500026,,-.17660937,.0041277604,0,9.8190436e-32,0,8.7099670e-06,1.0114985,.47444975,0,.28940472,0,6.9309305e-09,.81040406,.17718989,0,0,0,0,9.8190436e-32,0,112.10265,132.44038,124.80094,135.44446,493.41721,322.83362,,,,27.250055,210.36153,129.00027,,,,-.28981727,1.2360978,.51828665,0,2.3860295e-30,0,87,43,46,34,46,44,43,26,57,61,65,,76,,71,20,9,57,36,7
2013,647,581,349261,259503,Aitkin,.089722335,.10016614,.71944702,.1146253,.53750175,.02240237,.067319967,118.64977,155.7787,162.53612,35.137897,1.2736937,.41743276,.11274216,.5584662,.2060665,.31070444,.071046881,.041695278,170.82504,220.14426,246.10498,16.989559,1.5036138,6.9546702e-10,.18093015,.12411853,.4986423,.27688378,.20767923,.11003927,.014079258,210.10277,255.72041,276.25183,13.898079,1.4023361,-.27833655,.24179278,.098850906,.63151497,.1195942,.4365046,.023434754,.075416148,122.86449,176.70358,209.29378,20.764448,1.6272802,.33986616,.10661311,.081345603,.5121603,.1799643,.23593025,.044105411,.0018471254,174.93257,238.03322,265.6413,12.412881,1.4365072,-.11446296,.16545573,0,3.5647515e-30,0,.010939512,1.2511861,.6259799,0,.29525161,0,.000052289433,.96674377,.43347123,0,0,0,0,1.1601052e-36,0,116.01418,133.47829,124.73524,127.00002,177.94455,158.19447,152.60004,173.29453,164.87785,28.166723,43.416752,36.138962,1.0677269,1.3847473,1.3280795,-.14018045,.83018255,.3206974,0,4.8091950e-26,0,87,38,29,35,29,28,36,40,40,59,31,24,73,19,75,16,9,56,37,7
2014,647,581,349261,259503,Aitkin,.33525652,.20186348,.97387409,.28936771,.54639459,.19714478,.13811174,115.86817,167.09505,173.39569,17.642954,1.3654681,.85073435,.14917329,.58581603,.23326772,.29651099,.093135968,.056037318,169.09805,223.2364,237.77991,10.806197,1.4223517,1.3224108e-10,.23537487,.1548647,.53177434,.30802298,.19823626,.1293496,.025515107,209.7149,258.0687,273.70966,9.0229177,1.3640947,-.27881455,.28396159,.14222372,.65180427,.14198691,.41651052,.048916884,.093306825,119.50237,180.70401,193.90744,12.983691,1.4934872,.34044987,.17604747,.11941184,.54117668,.20257875,.22597989,.065413721,.021956054,173.32027,240.6362,254.02663,8.0444069,1.3888881,-.1487809,.22529462,3.5477950e-24,.15836892,.026121689,.12269218,1.568049,.68385214,0,.40022939,3.0821568e-06,.0027152754,.96471971,.4243769,0,0,0,1.0897334e-36,.15561478,.016436286,110.95998,135.44455,121.95062,132.77779,202.9707,156.7778,165.17813,183.43564,172.67815,5.4166775,28.194502,12.472247,1.299917,1.4685649,1.347764,-.27230024,1.3201858,.46970743,1.5252744e-20,.25221506,.042749334,87,9,5,6,26,3,19,28,7,57,37,37,65,32,56,30,14,51,40,10
2015,647,581,349261,259503,Aitkin,.18287987,.1933291,.68118143,.0036498054,.51705414,.02240237,.16047749,105.23385,187.41913,148.36508,15.500192,1.1715387,.5431565,.1571209,.5579595,.22679776,.27366361,.099622801,.05749809,172.20628,229.06659,234.30888,10.534803,1.3604409,4.6666238e-10,.26617271,.16920049,.51001132,.30203423,.17795667,.13918005,.030020433,214.48586,265.24478,278.92871,8.7821188,1.353738,-.2660127,.3238478,.14237095,.61650711,.13492937,.39052776,.051320944,.091050014,120.5803,184.89079,179.8253,12.67494,1.3686256,.32481799,.19574787,.13152398,.51399022,.20070736,.20140466,.07495261,.026161147,178.49532,248.6633,253.5575,7.9022145,1.3498224,-.15025853,.26232243,3.5477950e-24,.15836892,.026121689,.0079029733,1.2306159,.50702971,0,0,0,.0014032484,.9814775,.34247726,0,0,0,5.9319869e-26,.15836892,.026121689,81.922394,125.45966,110.78573,176.44452,211.50012,182.36119,127.91671,159.36122,150.47231,4.5097699,25.666719,11.055577,1.0769722,1.2543651,1.2209176,-.45107096,1.1238507,.37743106,1.5252744e-20,.27732089,.10191879,87,24,33,74,28,51,13,40,25,44,54,29,59,20,76,1,24,49,41,10
2016,647,581,349261,259503,Aitkin,0,0,.085079551,.0036002314,.081479318,0,0,113.59316,195.35806,206.02452,203.3734,2.5470142,-.043862067,.10475305,.30868447,.16964787,.11242023,.07813669,.026616363,168.51242,242.1907,246.28207,38.804512,1.6600305,7.6565043e-10,.2843667,.13995342,.37132013,.24233294,.10267338,.1136396,.026313821,221.29439,274.26117,281.49667,12.025635,1.3112875,-.145895,.35410124,.061771214,.23220243,.080894902,.12432174,.034785431,.026985783,104.06235,203.03069,187.33775,71.503181,2.2442749,.17814684,.19921653,.067397177,.26988581,.12638226,.08399827,.039365496,.0077712298,179.23958,254.69212,267.13513,10.302787,1.3251808,-.076522715,.25419465,0,0,0,0,.13571553,.000084775893,0,0,0,0,.13306618,.000013568862,0,0,0,0,0,0,75.074371,142.72987,134.40852,177.3334,222.69461,182.72231,142.1138,247.0705,215.72002,201.8893,247.83385,204.80597,2.0860562,3.1953716,2.3301859,-.23479165,.060968816,-.06598562,0,0,0,87,85,86,59,76,78,84.5,85,77,67,45,50,80,52,96,4,0,36,55,9
2017,647,581,349261,259503,Aitkin,.22185495,.43814015,.43817076,.0036002314,.27409303,.061377469,.16047749,101.78654,398.47488,159.23259,65.06797,1.1494687,.45252329,.16696499,.44115615,.21265782,.17964444,.11711731,.049847685,183.03572,275.08139,247.28606,25.716303,1.3437595,.00013756404,.34881932,.18493438,.43973619,.2857779,.1252379,.15530461,.029629765,227.56776,279.61356,284.02005,12.382446,1.3146435,-.19302246,.40445119,.14502324,.44288999,.12337369,.24607818,.070488229,.07453502,128.62953,269.54431,195.3779,42.006691,1.3853948,.2361272,.2808893,.14204176,.41139814,.1803634,.13195089,.09526775,.021559807,187.25017,269.0394,264.0014,8.5519934,1.2634766,-.11787421,.3744601,4.2612628e-13,.34394032,.072532721,.000020624249,.80402356,.41751578,0,0,0,2.7340155e-10,.51071835,.076008983,0,.13571553,.000013568862,5.9319869e-26,.15836892,.026121689,65.108574,133.1147,110.6755,359.83371,496.00052,368.00037,137.56833,154.02205,143.66092,4.5505557,145.9666,11.055577,1.0439653,1.1657052,1.060842,-.31070772,.94243711,.41197366,.00006734921,.80806577,.41982141,87,13,39,71,37,38,8,9,14,18,68,29,55,23,63,1,37,41,48,11
2018,647,581,349261,259503,Aitkin,.22353508,.38197502,.50375044,.0052803396,.33799261,.063057579,.16047749,104.72227,208.52121,159.82091,15.500192,1.1345612,.47102842,.1833386,.52262598,.2458825,.21444264,.12103772,.062300872,197.41147,266.34604,262.4071,10.180117,1.2756855,-1.2414926e-09,.33501783,.20287231,.50874692,.3343398,.1365796,.16504481,.037827495,249.97003,309.05048,318.38602,8.2889967,1.3295362,-.21803889,.39469829,.15948673,.53957325,.13787062,.30951822,.067302339,.09218438,133.23422,214.20126,181.24086,12.489292,1.1973439,.26623899,.26214433,.15950859,.48326793,.21080883,.15286888,.10507996,.03095335,204.42227,284.43594,291.12512,7.6084881,1.2703981,-.14475809,.3529003,6.2498525e-13,.34394032,.072532721,6.4578571e-06,.82382983,.48551974,0,0,0,3.3610467e-10,.60757226,.077971391,0,.13571553,.000013568862,5.9319869e-26,.15836892,.026121689,88.620735,135.54262,119.46347,182.25008,236.38907,188.25009,137.83607,163.45999,151.32269,4.5097699,25.666719,11.055577,.96288639,1.210701,1.1148784,-.50731605,1.0906438,.42299399,.000032033593,.57585436,.35205734,87,16,53,73,44,37,13,11,23,33,47,41,61,38,67,1,32,41,47,12
2019,647,581,349261,259503,Aitkin,.19282845,.38038582,.43309003,.0058628717,.28236851,.047969796,.14485864,114.04181,162.89195,150.36931,108.86097,1.0892372,.20723702,.21685407,.56920344,.27474514,.21301781,.13541356,.081440508,188.82721,254.64575,250.36604,39.83754,1.2466825,-3.9950529e-10,.36112294,.23721111,.56380707,.37398562,.13397329,.18136291,.055848189,236.04593,290.60721,299.03973,48.742886,1.2906914,-.20131844,.4183369,.19199687,.57579273,.15356633,.30953607,.07930655,.11269032,131.17021,200.58304,176.8013,28.325695,1.1799331,.2458223,.29126114,.19229907,.5299468,.23519602,.14615482,.11689028,.046364371,193.21698,273.84366,276.4006,18.412409,1.2438682,-.11975329,.37556082,5.9961975e-13,.26422909,.065148473,1.1464152e-06,.66037738,.30081552,0,0,0,1.9496309e-10,.47492447,.11986593,0,.092440277,3.8926119e-06,5.9241574e-26,.12402778,.020836858,80.193375,151.15881,141.85652,155.0278,166.83337,160.65282,137.78229,158.88893,150.84595,9.0000172,185.16493,176.27603,.98068106,1.2039405,1.0930041,-.58016813,.59102654,.029250324,9.5251744e-06,.65788984,.33746701,87,38,77,72,57,53,26,14,56,41,19,40,85,33,65,1,33,37,48,14
2020,647,581,349261,259503,Aitkin,.24557346,.34785232,.66265118,.041885611,.41531602,.040123917,.20544954,115.61636,149.59987,146.20598,12.071496,.97743303,.46357888,.2391668,.58344477,.2826727,.20582268,.14421742,.094949387,195.66025,256.33185,252.38196,112.12788,1.2529514,-5.7189925e-10,.38828039,.25778362,.57914805,.38157508,.12706237,.187273,.070510618,243.56932,292.39255,301.20221,141.01784,1.2822433,-.2076588,.44085431,.21643451,.58869129,.16190679,.30199388,.09164387,.12479064,137.16031,203.26027,181.2607,74.763512,1.2100846,.25356427,.3240844,.212387,.54498643,.2433251,.14078793,.11976141,.065544695,202.12589,275.61298,278.21957,107.53541,1.2393914,-.12787411,.40247095,3.5822553e-11,.31748903,.080565386,1.4671857e-06,1.1217983,.49879164,0,.08279632,3.6103788e-26,3.0584127e-10,.80695128,.15625009,0,.044852108,4.6743448e-31,7.5468012e-26,.15799935,.026544135,75.269241,142.99055,122.04089,142.25,155.0278,148.83334,136.83638,154.60939,142.94919,3.6111183,18.916704,8.9454088,.98322064,1.063818,.99798191,-.57985866,1.0598562,.19516662,6.1693377e-06,.55313975,.22532886,87,25,29,70,23,62,12,30,22,37,9,29,17,12,63,6,31,35,48,16
2021,647,581,349261,259503,Aitkin,.27899554,.37992412,.59365606,.079115324,.35355192,.11800676,.16098879,148.74916,150.60995,150.99976,12.00424,1.0271112,,.25498864,.58233821,.30032423,.19155487,.16452955,.090459101,200.82707,275.34302,272.51553,8.8873844,1.261619,,.4128885,.27336735,.57948226,.39852765,.11708596,.20949866,.063868679,251.81323,316.85901,323.74631,7.80584,1.2729286,,.46881911,.23254494,.5858258,.18040022,.28249481,.10961416,.12293078,138.5638,213.12578,198.2066,10.293574,1.2451237,,.34458718,.2208669,.53308749,.25042906,.12387804,.13743189,.057669424,204.30151,297.31744,303.00916,7.2924871,1.2356136,,.42891139,1.4002663e-21,.56184793,.028329909,1.7403484e-10,1.0599327,.40714186,0,.082730092,0,7.9006766e-12,.50907969,.17389762,0,.12013111,0,0,.19057253,.0013155695,120.62358,156.37456,132.74362,143.07361,156.95142,149.5014,143.85912,156.9269,149.20825,4.2833424,18.763927,8.512517,.98656565,1.0548283,.99911207,,,,2.7508081e-06,.63414007,.34505567,87,20,42,61,31,26,27,34,,71,6,28,62,14,60,13,27,33,52,16
2022,647,581,349261,259503,Aitkin,.24682966,.35742113,.59533626,.081580654,.3878381,.12091217,.12591749,120.01991,149.58636,150.78586,17.637074,1.0353624,,.26744977,.59806472,.34602442,.18187934,.19728884,.070160918,206.02438,267.03397,268.21628,8.9497108,1.2590977,,.42291179,.28764853,.59792238,.42707723,.1100736,.22687696,.060771573,253.76491,311.44153,320.31583,7.7107048,1.2617077,,.47959268,.24278243,.59823847,.24704041,.26957062,.16115496,.081627466,147.72226,205.79477,197.83298,10.619012,1.2555509,,.35369146,.23990816,.56106758,.30584425,.12088981,.16885473,.050118964,211.27977,288.37915,295.1109,7.2191019,1.2429373,,.44643068,9.6264446e-13,.40217513,.1846503,1.3078333e-06,.97905707,.47525662,0,.1819099,1.0751137e-24,1.0378589e-07,.58755523,.20188485,0,.23923537,7.3830924e-15,0,.0014290457,0,102.42318,148.38957,142.2632,142.13889,154.72224,149.41669,143.30606,154.87354,148.37898,5.4305663,28.902836,22.291712,.98814815,1.0507054,1.003587,,,,.00011390971,.49640745,.32406339,87,33,48,80,22,53,19,38,,24,3,13,77,9,65,14,21,30,58,12
2012,21542.266,16762.338,349261,259503,Anoka,.011892154,.022573592,.53164959,.22092582,.29883164,0,.011892154,179.71942,231.85849,,22.614832,,-.14756301,.0386969,.5348947,.19158287,.30461493,0,.0386969,165.04706,245.78123,,35.264988,,-6.5270100e-10,.054010592,.016329851,.48531702,.25363493,.21535224,0,.016329851,202.43025,251.13664,,17.787479,,-.43156007,.03597733,.066008456,.59543216,.11581349,.41361022,0,.066008456,119.39986,239.24196,,56.606106,,.52696162,.076030329,.0016955917,.49562806,.16701594,.23368755,0,.0016955917,168.67125,242.06996,,12.500026,,-.17660937,.0041277604,4.6826591e-20,.0072304397,5.5310597e-08,.38926455,.67612606,.51579273,.13667455,.29955137,.21100394,.20147339,.38117844,.2867243,0,0,0,4.6826591e-20,.0072304397,5.5310597e-08,163.47444,193.31912,181.69598,217.37686,250.51132,232.77753,,,,11.327272,23.811665,18.263927,,,,-.40407336,.10983069,-.1231305,1.0825649e-19,.014328692,8.7263373e-08,87,72,50,11,70,44,72,69,81,81,41,,15,,56,42,2,57,36,7
2013,21542.266,16762.338,349261,259503,Anoka,.10983125,.1958441,.53398275,.23700322,.28435582,.097207561,.012623692,185.12231,235.83438,262.18979,17.898964,1.51293,-.1098142,.11274216,.5584662,.2060665,.31070444,.071046881,.041695278,170.82504,220.14426,246.10498,16.989559,1.5036138,6.9546702e-10,.18093015,.12411853,.4986423,.27688378,.20767923,.11003927,.014079258,210.10277,255.72041,276.25183,13.898079,1.4023361,-.27833655,.24179278,.098850906,.63151497,.1195942,.4365046,.023434754,.075416148,122.86449,176.70358,209.29378,20.764448,1.6272802,.33986616,.10661311,.081345603,.5121603,.1799643,.23593025,.044105411,.0018471254,174.93257,238.03322,265.6413,12.412881,1.4365072,-.11446296,.16545573,.023360383,.16667527,.11267839,.39337707,.67507625,.5139991,.14975983,.31509483,.22567675,.19366047,.35667098,.2711702,.020985097,.13622838,.097758345,2.7968304e-18,.012071177,8.2460943e-08,170.36333,199.63504,186.88651,225.15604,252.96526,236.73303,246.64737,278.48895,264.82373,10.959245,23.250046,18.138926,1.4042194,1.5939267,1.4982054,-.26657093,.064053133,-.11226473,.056923591,.29237264,.22726436,87,28,60,8,76,8,72,13,81,81,78,69,37,37,53,44,2,56,37,7
2014,21542.266,16762.338,349261,259503,Anoka,.15038046,.25962132,.55403668,.25310594,.26690561,.11635535,.034025114,186.88736,244.85503,250.56847,10.178216,1.3773251,-.12990996,.14917329,.58581603,.23326772,.29651099,.093135968,.056037318,169.09805,223.2364,237.77991,10.806197,1.4223517,1.3224108e-10,.23537487,.1548647,.53177434,.30802298,.19823626,.1293496,.025515107,209.7149,258.0687,273.70966,9.0229177,1.3640947,-.27881455,.28396159,.14222372,.65180427,.14198691,.41651052,.048916884,.093306825,119.50237,180.70401,193.90744,12.983691,1.4934872,.34044987,.17604747,.11941184,.54117668,.20257875,.22597989,.065413721,.021956054,173.32027,240.6362,254.02663,8.0444069,1.3888881,-.1487809,.22529462,.053935982,.2115459,.14864796,.41843349,.69910634,.53326964,.1561197,.33849671,.24859595,.17786723,.33070189,.25401333,.031160738,.16056186,.10961974,.0022002789,.047390491,.019920308,169.7756,202.84142,188.67372,233.29343,257.79364,245.18234,238.3858,275.30127,261.30496,6.7966461,11.908573,8.8889179,1.3157108,1.4981546,1.4207926,-.32760119,.069425225,-.14638513,.13080996,.35695255,.2990616,87,28,58,12,77,8,76,12,81,81,79,73,17,35,48,46,6,51,40,10
2015,21542.266,16762.338,349261,259503,Anoka,.15068631,.27980688,.51862252,.24931757,.24096163,.12234302,.028343286,193.76826,250.22649,251.90099,10.159186,1.3590509,-.17124422,.1571209,.5579595,.22679776,.27366361,.099622801,.05749809,172.20628,229.06659,234.30888,10.534803,1.3604409,4.6666238e-10,.26617271,.16920049,.51001132,.30203423,.17795667,.13918005,.030020433,214.48586,265.24478,278.92871,8.7821188,1.353738,-.2660127,.3238478,.14237095,.61650711,.13492937,.39052776,.051320944,.091050014,120.5803,184.89079,179.8253,12.67494,1.3686256,.32481799,.19574787,.13152398,.51399022,.20070736,.20140466,.07495261,.026161147,178.49532,248.6633,253.5575,7.9022145,1.3498224,-.15025853,.26232243,.06452854,.19581497,.14430127,.37866938,.63634729,.49072158,.15383253,.32713521,.23706532,.15747429,.29747128,.21875991,.047014721,.16202217,.11418243,.0019895537,.040644791,.019608069,181.68742,208.50055,197.66519,239.60861,265.16077,255.52007,237.47369,284.22687,262.73053,6.5319986,11.883955,8.5287485,1.2848952,1.5047485,1.4203088,-.41237015,-.0046886671,-.22725764,.15922455,.38389093,.31032348,87,31,65,8,79,8,83,13,81,81,77,78,20,42,46,48,5,49,41,10
2016,21542.266,16762.338,349261,259503,Anoka,.14613946,.34729615,.37333864,.21108796,.13831624,.122205,.023934454,200.72168,257.70197,261.59326,12.061757,1.3725396,-.047318403,.10475305,.30868447,.16964787,.11242023,.07813669,.026616363,168.51242,242.1907,246.28207,38.804512,1.6600305,7.6565043e-10,.2843667,.13995342,.37132013,.24233294,.10267338,.1136396,.026313821,221.29439,274.26117,281.49667,12.025635,1.3112875,-.145895,.35410124,.061771214,.23220243,.080894902,.12432174,.034785431,.026985783,104.06235,203.03069,187.33775,71.503181,2.2442749,.17814684,.19921653,.067397177,.26988581,.12638226,.08399827,.039365496,.0077712298,179.23958,254.69212,267.13513,10.302787,1.3251808,-.076522715,.25419465,.05075644,.18017933,.108898,.24362358,.41465482,.31001833,.10670505,.24035214,.16518417,.079158232,.16129705,.11811928,.034099646,.14906168,.080826811,.0022151261,.03186072,.020543031,182.20181,219.27353,202.61008,245.99838,279.66806,265.90686,242.0437,292.8526,272.18857,6.6633816,12.304482,8.3907948,1.2246643,1.5057909,1.4004645,-.23799805,.014011083,-.12778075,.18501788,.5046798,.35992348,87,5,7,6,37,4,43,17,79,82,63,61,5,19,37,57,6,36,55,9
2017,21542.266,16762.338,349261,259503,Anoka,.17907977,.38706529,.4291074,.22091296,.17005228,.14058071,.038499061,197.40364,265.19611,255.83813,16.696075,1.3508693,-.064124465,.16696499,.44115615,.21265782,.17964444,.11711731,.049847685,183.03572,275.08139,247.28606,25.716303,1.3437595,.00013756404,.34881932,.18493438,.43973619,.2857779,.1252379,.15530461,.029629765,227.56776,279.61356,284.02005,12.382446,1.3146435,-.19302246,.40445119,.14502324,.44288999,.12337369,.24607818,.070488229,.07453502,128.62953,269.54431,195.3779,42.006691,1.3853948,.2361272,.2808893,.14204176,.41139814,.1803634,.13195089,.09526775,.021559807,187.25017,269.0394,264.0014,8.5519934,1.2634766,-.11787421,.3744601,.082971267,.25143436,.17288145,.30792972,.54361928,.40625221,.13395727,.29532477,.20859326,.10833544,.21082342,.15698084,.066641048,.18492663,.1272186,.0011476476,.049621776,.021773025,173.08463,218.31717,201.29247,248.25859,284.81567,270.4191,238.9929,287.70767,266.70242,7.5287633,13.593198,9.5069752,1.2337245,1.507553,1.4112526,-.27864259,.14869435,-.11901862,.25178325,.53614861,.45295686,87,23,42,10,74,8,66,12,79,81,45,68,16,49,40,51,9,41,48,11
2018,21542.266,16762.338,349261,259503,Anoka,.18538234,.37084943,.47385463,.25140443,.18887171,.15180382,.033578508,219.2216,286.48306,281.8735,9.8093386,1.3662646,-.14083892,.1833386,.52262598,.2458825,.21444264,.12103772,.062300872,197.41147,266.34604,262.4071,10.180117,1.2756855,-1.2414926e-09,.33501783,.20287231,.50874692,.3343398,.1365796,.16504481,.037827495,249.97003,309.05048,318.38602,8.2889967,1.3295362,-.21803889,.39469829,.15948673,.53957325,.13787062,.30951822,.067302339,.09218438,133.23422,214.20126,181.24086,12.489292,1.1973439,.26623899,.26214433,.15950859,.48326793,.21080883,.15286888,.10507996,.03095335,204.42227,284.43594,291.12512,7.6084881,1.2703981,-.14475809,.3529003,.10541242,.24322328,.18476346,.34850109,.58293796,.45813495,.16733338,.32988331,.24683186,.12604463,.23331335,.1766468,.081926301,.20636186,.14439318,.0039345673,.04868345,.029592596,200.36966,239.96075,221.29646,268.39014,306.935,293.34753,268.33527,315.41815,294.52679,6.626996,11.076544,7.9953823,1.2805959,1.503365,1.4206489,-.37474042,.016755855,-.2103537,.27526194,.50764132,.42250502,87,27,60,11,79,5,79,12,80,81,78,76,22,65,40,53,7,41,47,12
2019,21542.266,16762.338,349261,259503,Anoka,.18222152,.35409215,.4901388,.26636708,.18419601,.14264579,.039575726,212.30751,271.77051,266.94296,43.573578,1.3206598,-.23104686,.21685407,.56920344,.27474514,.21301781,.13541356,.081440508,188.82721,254.64575,250.36604,39.83754,1.2466825,-3.9950529e-10,.36112294,.23721111,.56380707,.37398562,.13397329,.18136291,.055848189,236.04593,290.60721,299.03973,48.742886,1.2906914,-.20131844,.4183369,.19199687,.57579273,.15356633,.30953607,.07930655,.11269032,131.17021,200.58304,176.8013,28.325695,1.1799331,.2458223,.29126114,.19229907,.5299468,.23519602,.14615482,.11689028,.046364371,193.21698,273.84366,276.4006,18.412409,1.2438682,-.11975329,.37556082,.09565299,.25111997,.18149722,.35908592,.6092453,.48065794,.17833318,.35917354,.25685111,.12062462,.22685897,.17098421,.074197471,.19424748,.13800511,.0066114999,.059175503,.035593949,200.88559,223.90753,212.23096,257.33234,290.65283,279.54956,246.8757,302.52441,280.53125,15.059898,59.130814,26.584778,1.1583848,1.5053108,1.3739388,-.4390642,-.065552801,-.24921134,.2095933,.51258689,.40837112,87,43,64,11,78,11,83,21,86,80,72,75,74,69,38,54,8,37,48,14
2020,21542.266,16762.338,349261,259503,Anoka,.2178438,.39341119,.53204691,.28132835,.17731442,.14443968,.073404126,217.46329,275.13483,270.25037,148.44138,1.2994093,-.18047529,.2391668,.58344477,.2826727,.20582268,.14421742,.094949387,195.66025,256.33185,252.38196,112.12788,1.2529514,-5.7189925e-10,.38828039,.25778362,.57914805,.38157508,.12706237,.187273,.070510618,243.56932,292.39255,301.20221,141.01784,1.2822433,-.2076588,.44085431,.21643451,.58869129,.16190679,.30199388,.09164387,.12479064,137.16031,203.26027,181.2607,74.763512,1.2100846,.25356427,.3240844,.212387,.54498643,.2433251,.14078793,.11976141,.065544695,202.12589,275.61298,278.21957,107.53541,1.2393914,-.12787411,.40247095,.11862186,.3017197,.21568167,.39073944,.66072065,.5196408,.19385141,.36871317,.2681942,.11119457,.22095105,.16375279,.073992744,.19551201,.13598797,.02502295,.10108655,.068901464,201.57742,231.44144,221.13318,264.55542,291.50262,283.4205,253.64958,301.79858,286.39783,114.10919,192.49222,146.24466,1.1548986,1.4419159,1.359473,-.43071288,.059777025,-.21258113,.25131553,.53382421,.44523132,87,35,58,11,80,12,68,21,81,81,73,78,80,65,33,53,14,35,48,16
2021,21542.266,16762.338,349261,259503,Anoka,.2171315,.40256611,.52120757,.30443215,.16367668,.16403273,.053098764,229.19357,297.71188,290.30585,8.5888243,1.2822653,,.25498864,.58233821,.30032423,.19155487,.16452955,.090459101,200.82707,275.34302,272.51553,8.8873844,1.261619,,.4128885,.27336735,.57948226,.39852765,.11708596,.20949866,.063868679,251.81323,316.85901,323.74631,7.80584,1.2729286,,.46881911,.23254494,.5858258,.18040022,.28249481,.10961416,.12293078,138.5638,213.12578,198.2066,10.293574,1.2451237,,.34458718,.2208669,.53308749,.25042906,.12387804,.13743189,.057669424,204.30151,297.31744,303.00916,7.2924871,1.2356136,,.42891139,.12325327,.29502875,.21084654,.37783605,.64899373,.50516689,.20277902,.40230435,.29194403,.10128815,.20439246,.15014136,.076109767,.23002815,.15752478,.020960886,.077909663,.048039272,212.26208,246.38264,228.1006,282.8772,316.45929,306.51202,272.50626,324.46472,312.70959,6.813406,9.0117397,7.6429653,1.0796915,1.4540305,1.3289638,,,,.29446614,.56606555,.41411546,87,44,58,10,82,14,79,23,,81,76,78,19,60,31,58,10,33,52,16
